,Candidate,Party,Votes,Constituency
1568,KASARLA LINGAIAH,Bharatiya Janata Party,2233,Telangana - Nakrekal 
1569,NUNE VENKATA SWAMY,Bahujan Samaj Party,885,Telangana - Nakrekal 
1570,DUBBA VENKANNA,Independent,634,Telangana - Nakrekal 
1571,MEDI SATHYANARAYANA,Telangana Prajala Party,562,Telangana - Nakrekal 
1572,KATTA SRINIVAS,Yekikrutha Sankshema Rashtriya Praja Party,520,Telangana - Nakrekal 
1573,VANTEPAKA SWAROOPARANI,Nationalist Congress Party,466,Telangana - Nakrekal 
1574,MEDI NARESH,Samajwadi Party,454,Telangana - Nakrekal 
1575,CHINENI JANAIAH,Independent,344,Telangana - Nakrekal 
1576,GADE SRINU,Bahujan Mukti Party,327,Telangana - Nakrekal 
1577,YARA SRINU,Aam Aadmi Party,242,Telangana - Nakrekal 
1578,KOMMU SHOBARANI,Shiv Sena,167,Telangana - Nakrekal 
1579,None of the Above,None of the Above,1331,Telangana - Nakrekal 
1580,GADARI KISHORE KUMAR,Telangana Rashtra Samithi,90857,Telangana - Thungathurthy 
1581,ADDANKI DAYAKAR,Indian National Congress,89010,Telangana - Thungathurthy 
1582,BADE ANIL,Samajwadi Forward Bloc,3729,Telangana - Thungathurthy 
1583,RAMACHANDRAIAH KADIYAM,Bharatiya Janata Party,3222,Telangana - Thungathurthy 
1584,RAVI VADDEPALLY,Independent,2806,Telangana - Thungathurthy 
1585,REDDIMALLA SUJANA,Independent,1593,Telangana - Thungathurthy 
1586,VATAM BALARAJU,Independent,1483,Telangana - Thungathurthy 
1587,DR. MANDULA SRAVAN KUMAR,Bahujan Samaj Party,1308,Telangana - Thungathurthy 
1588,NAGESH PALVAI,Bahujana Left Party,1262,Telangana - Thungathurthy 
1589,YERRA YADAGIRI,Prajaa Swaraaj Party,974,Telangana - Thungathurthy 
1590,POLUPONGU SHILPA,Independent,942,Telangana - Thungathurthy 
1591,EDULA RAMANJANEYULU,Independent,293,Telangana - Thungathurthy 
1592,CHERUKU VIJAY KUMAR,Independent,243,Telangana - Thungathurthy 
1593,KOTHI INDIRA,Telangana Communist Party of India,224,Telangana - Thungathurthy 
1594,PALVAI PADMA,Social Justice Party of India,195,Telangana - Thungathurthy 
1595,KONGARI MALLAIAH,Independent,147,Telangana - Thungathurthy 
1596,DASARI RAMBABU,Aam Aadmi Party,142,Telangana - Thungathurthy 
1597,None of the Above,None of the Above,1392,Telangana - Thungathurthy 
1598,GONGIDI SUNEETHA,Telangana Rashtra Samithi,94870,Telangana - Alair
1599,BUDIDA BIKSHAMAIAH,Indian National Congress,61784,Telangana - Alair
1600,KALLURI RAMCHANDRA REDDY,Bahujan Samaj Party,11923,Telangana - Alair
1601,MOTHKUPALLY NARSIMHULU,Bahujana Left Party,10473,Telangana - Alair
1602,DONTHIRI SRIDHAR REDDY,Bharatiya Janata Party,4967,Telangana - Alair
1603,KANDADI MANIPAL REDDY,Telugu Congress Party,1230,Telangana - Alair
1604,SARITHA JANNE,Samajwadi Party,1200,Telangana - Alair
1605,DHEERAVATH GOPI NAYAK,Independent,1112,Telangana - Alair
1606,VYLA SRINIVAS REDDY,Independent,913,Telangana - Alair
1607,BOLLARAM RAMESH,Independent,380,Telangana - Alair
1608,MORIGADI KRISHNA,Independent,358,Telangana - Alair
1609,KOTHA KISTAIAH,Ambedkar National Congress,315,Telangana - Alair
1610,GUJJULA RAMCHANDRA REDDY,Independent,260,Telangana - Alair
1611,REGU ANAND,Bahujana Rashtra Samithi,231,Telangana - Alair
1612,None of the Above,None of the Above,1465,Telangana - Alair
1613,MUTHIREDDY YADAGIRI REDDY,Telangana Rashtra Samithi,91592,Telangana - Jangoan
1614,LAKSHMAIAH PONNALA,Indian National Congress,62024,Telangana - Jangoan
1615,LAXMAN BHIMA,Samajwadi Forward Bloc,10031,Telangana - Jangoan
1616,MERUGU SRINIVAS,Independent,3604,Telangana - Jangoan
1617,K.V.L.N. REDDY (RAJU),Bharatiya Janata Party,3122,Telangana - Jangoan
1618,UDUTHA RAVI YADAV,Communist Party of India  (Marxist),2691,Telangana - Jangoan
1619,SRINIVAS REDDY SHAKAMPALLY,Independent,1380,Telangana - Jangoan
1620,KOTHAPALLI SATISH KUMAR,Bahujan Samaj Party,1018,Telangana - Jangoan
1621,THUPPATHI SIDDULU,Nava Samaj Party,619,Telangana - Jangoan
1622,MAHENDER REDDY KONDETI,Independent,593,Telangana - Jangoan
1623,VENKATA RAJAIAH THATIKONDA,Samajwadi Party,589,Telangana - Jangoan
1624,UPENDAR JERIPOTHULA,Independent,576,Telangana - Jangoan
1625,MOHAN RAJU AKKALADEVI,Bahujana Rashtra Samithi,408,Telangana - Jangoan
1626,MANTHENA NARESH,Independent,395,Telangana - Jangoan
1627,NIMMA JAYARAM REDDY,Aam Aadmi Party,210,Telangana - Jangoan
1628,None of the Above,None of the Above,2616,Telangana - Jangoan
1629,DR. THATIKONDA RAJAIAH,Telangana Rashtra Samithi,98612,Telangana - Ghanpur (Station)
1630,INDIRA SINGAPURAM,Indian National Congress,62822,Telangana - Ghanpur (Station)
1631,PRATHAP RAJARAPU,Bahujan Samaj Party,22774,Telangana - Ghanpur (Station)
1632,MADASI VENKATESHAM,Independent,4890,Telangana - Ghanpur (Station)
1633,PERUMANDLA VENKATESHWARLU,Bharatiya Janata Party,2370,Telangana - Ghanpur (Station)
1634,BOTLA SHEKHAR,Communist Party of India  (Marxist),1832,Telangana - Ghanpur (Station)
1635,SURABHI SATHAIAH,Independent,1246,Telangana - Ghanpur (Station)
1636,JERIPOTHULA UPENDAR,Independent,857,Telangana - Ghanpur (Station)
1637,None of the Above,None of the Above,3540,Telangana - Ghanpur (Station)
1638,ERRABELLI DAYAKAR RAO,Telangana Rashtra Samithi,117504,Telangana - Palakurthi
1639,JANGA RAGAVA REDDY,Indian National Congress,64451,Telangana - Palakurthi
1640,L. VIJAY,Samajwadi Forward Bloc,3199,Telangana - Palakurthi
1641,BILLA SUDHEER REDDY,Independent,2559,Telangana - Palakurthi
1642,MACHARLA SRINIVAS,Independent,1835,Telangana - Palakurthi
1643,SOMAIAH PEDAGANI,Bharatiya Janata Party,1306,Telangana - Palakurthi
1644,JILUKARA SREENIVAS,Bahujan Samaj Party,1280,Telangana - Palakurthi
1645,KUNABOINA KUMARA SWAMY,Telangana Karmika Raithu Rajyam Party,1130,Telangana - Palakurthi
1646,MAMINDLA RAMESH RAJA,Communist Party of India  (Marxist-Leninist)  (Liberation),1029,Telangana - Palakurthi
1647,DAYAKAR SINGAPURAM,Independent,890,Telangana - Palakurthi
1648,GOLA GANGA RAO,Independent,746,Telangana - Palakurthi
1649,KORRA NARASIMHA,Independent,580,Telangana - Palakurthi
1650,VISHWANATH GOVIAMSA,Republican Party of India,295,Telangana - Palakurthi
1651,MAKKALA NAGALAXMI,Bahujana Left Party,234,Telangana - Palakurthi
1652,RAMU BEERELLI,Independent,152,Telangana - Palakurthi
1653,GARE VENKATESH,Samajwadi Party,115,Telangana - Palakurthi
1654,THANDA UPENDER,Telangana Prajala Party,72,Telangana - Palakurthi
1655,L.M.S. GOUD,Jai Swaraj Party,64,Telangana - Palakurthi
1656,None of the Above,None of the Above,1078,Telangana - Palakurthi
1657,DHARAM SOTH REDYA NAIK,Telangana Rashtra Samithi,88307,Telangana - Dornakal 
1658,JATOTH RAM CHANDRU NAIK,Indian National Congress,70926,Telangana - Dornakal 
1659,BANOTH. RAVINDER,Independent,4117,Telangana - Dornakal 
1660,BHUKYA GOPI KRISHANA,Independent,2107,Telangana - Dornakal 
1661,ANGOTH. VENKANNA,Communist Party of India  (Marxist),1361,Telangana - Dornakal 
1662,MALOTH SREENU NAIK,Bahujan Samaj Party,1245,Telangana - Dornakal 
1663,BANOTHU RAMDAS,Independent,1019,Telangana - Dornakal 
1664,AJMEERA RATHNA,Independent,925,Telangana - Dornakal 
1665,GUGULOTHU LAXMAN NAIK,Bharatiya Janata Party,862,Telangana - Dornakal 
1666,D.S. VENKANNA NAIK,Independent,685,Telangana - Dornakal 
1667,NEHRU NAIK MALOTHU,Independent,486,Telangana - Dornakal 
1668,None of the Above,None of the Above,2036,Telangana - Dornakal 
1669,BANOTH SHANKAR NAIK,Telangana Rashtra Samithi,85397,Telangana - Mahabubabad 
1670,BALARAM NAIK PORIKA,Indian National Congress,71863,Telangana - Mahabubabad 
1671,JATOTHU HUSSAIN,Bharatiya Janata Party,11646,Telangana - Mahabubabad 
1672,BATTU BINAMA,Independent,4819,Telangana - Mahabubabad 
1673,BANOTH MOHANLAL,Bahujana Left Party,2604,Telangana - Mahabubabad 
1674,BALU NAYAK BHUKYA,Bahujan Samaj Party,1515,Telangana - Mahabubabad 
1675,DARAMSOTHU NARAYANA SINGH,Independent,1030,Telangana - Mahabubabad 
1676,HALAVATH LINGYA,Independent,935,Telangana - Mahabubabad 
1677,SOLAM SAHADEV,Independent,895,Telangana - Mahabubabad 
1678,BANOTHU RAMDAS,Independent,606,Telangana - Mahabubabad 
1679,PRASAD DAPPU,Independent,351,Telangana - Mahabubabad 
1680,None of the Above,None of the Above,3279,Telangana - Mahabubabad 
1681,PEDDI SUDARSHAN REDDY,Telangana Rashtra Samithi,94135,Telangana - Narsampet 
1682,DONTHI MADHAVA REDDY,Indian National Congress,77186,Telangana - Narsampet 
1683,J. NAGESHWAR RAO,Independent,9025,Telangana - Narsampet 
1684,ASHOK REDDY EDLA,Bharatiya Janata Party,1476,Telangana - Narsampet 
1685,KURIMILLA RAMMURTHY,Pyramid Party of India,1307,Telangana - Narsampet 
1686,DHAYAKAR GAJJI,Bahujan Samaj Party,1123,Telangana - Narsampet 
1687,MADDIKAYALA ASHOK,Bahujana Left Party,797,Telangana - Narsampet 
1688,POGAKU SUDHIR,Independent,578,Telangana - Narsampet 
1689,BODDU KIRAN KUMAR,Independent,379,Telangana - Narsampet 
1690,EMMADI CHINNI KRISHNA,Independent,304,Telangana - Narsampet 
1691,PURNA CHANDER RAO THOTA,Shiv Sena,265,Telangana - Narsampet 
1692,None of the Above,None of the Above,2436,Telangana - Narsampet 
1693,CHALLA. DHARMA REDDY,Telangana Rashtra Samithi,105903,Telangana - Parkal
1694,KONDA SURAKHA,Indian National Congress,59384,Telangana - Parkal
1695,U. SRINIVAS,Independent,3996,Telangana - Parkal
1696,DR. PESARU VIJAYA CHANDER REDDY,Bharatiya Janata Party,2483,Telangana - Parkal
1697,G. SAMBAIAH,Independent,942,Telangana - Parkal
1698,SHANIGARAPU. RAJU,Bahujan Samaj Party,806,Telangana - Parkal
1699,ABBADI BUCHIREDDY,Independent,552,Telangana - Parkal
1700,CHAPARTHI KUMARASWAMY,Independent,313,Telangana - Parkal
1701,ELAMADRI RAVI,Republican Party of India (A),269,Telangana - Parkal
1702,ADEPU RAMESH,Independent,205,Telangana - Parkal
1703,KUMARASWAMY GONE,Bahujana Left Party,168,Telangana - Parkal
1704,DARAM YUVARAJU,Samajwadi Party,163,Telangana - Parkal
1705,PUNNAM BHAGYASRI,Indian New Congress Party,127,Telangana - Parkal
1706,VENU ESAMPELLY,All India Forward Bloc,116,Telangana - Parkal
1707,GUNDA. RAMU,Shiv Sena,87,Telangana - Parkal
1708,None of the Above,None of the Above,2064,Telangana - Parkal
1709,DASYAM VINAY BHASKER,Telangana Rashtra Samithi,81006,Telangana - Warangal West
1710,REVURI PRAKASH REDDY,Telugu Desam,44555,Telangana - Warangal West
1711,DHARMARAO MARTHINENI,Bharatiya Janata Party,5979,Telangana - Warangal West
1712,S. V. RAMANA RAO,Samajwadi Forward Bloc,3619,Telangana - Warangal West
1713,EMMADI KIRAN,Bahujan Samaj Party,865,Telangana - Warangal West
1714,BOMMATHI VIKRAM,Independent,548,Telangana - Warangal West
1715,DADABOINA SRIKANTH YADAV,Bahujana Left Party,368,Telangana - Warangal West
1716,PABBA BHANU LAXMAN,Independent,343,Telangana - Warangal West
1717,I PRASAD SHARMA,Independent,292,Telangana - Warangal West
1718,KANAKAM SURESH,Republican Party of India (A),280,Telangana - Warangal West
1719,EMMADI RAVI,Independent,248,Telangana - Warangal West
1720,SATHYA PRAKASH P.,Independent,230,Telangana - Warangal West
1721,FARUKH AHMED HASAN MOHAMMAD,Independent,220,Telangana - Warangal West
1722,VIKRANTH SAMIDLA,Independent,185,Telangana - Warangal West
1723,BANDI KRISHNA KISHORE,Aam Aadmi Party,166,Telangana - Warangal West
1724,VOLLAJI RAVINDER,Bahujana Rashtra Samithi,157,Telangana - Warangal West
1725,KALA RAJESHWER RAO,Independent,147,Telangana - Warangal West
1726,NAKKA RAJENDER RAO,Dalita Bahujana Party,114,Telangana - Warangal West
1727,GOKA VENKAT RAO,Telangana Pragati Samithi,108,Telangana - Warangal West
1728,CHIDURALA RAJANNA,Shiv Sena,89,Telangana - Warangal West
1729,GOPU SRINIVAS,"Telangana Praja Samithi (Kishore, Rao and Kishan)",70,Telangana - Warangal West
1730,None of the Above,None of the Above,3075,Telangana - Warangal West
1731,NARENDAR NANNAPUNENI,Telangana Rashtra Samithi,83922,Telangana - Warangal East
1732,RAVI CHANDRA VADDIRAJU,Indian National Congress,55140,Telangana - Warangal East
1733,SATISH KUSUMA,Bharatiya Janata Party,4729,Telangana - Warangal East
1734,AKULA VENKATESHWARLU,Independent,2759,Telangana - Warangal East
1735,INNA REDDY GADE,Telangana Jana Samithi,1127,Telangana - Warangal East
1736,GAI SATHISH,Independent,886,Telangana - Warangal East
1737,RANGARAJU RAVINDER,Independent,733,Telangana - Warangal East
1738,RAHIMUNNISA BEGUM,Independent,705,Telangana - Warangal East
1739,SHANIGARAPU RAMESH BABU,Independent,500,Telangana - Warangal East
1740,RAMBABU SIDDAM,Bahujana Left Party,406,Telangana - Warangal East
1741,VODELA SHYAM KUMAR,Independent,395,Telangana - Warangal East
1742,MOHAMMED SADIK,Independent,236,Telangana - Warangal East
1743,KALA RAJESHWAR RAO,Independent,203,Telangana - Warangal East
1744,CHINTHALA ANIL,Independent,196,Telangana - Warangal East
1745,GORANTALA SHARATH BABU,Independent,180,Telangana - Warangal East
1746,SANDRA JOHNSON,Independent,161,Telangana - Warangal East
1747,POGAKU SUDHEER,Independent,147,Telangana - Warangal East
1748,ALAKAPELLI KISHORE,Samajwadi Party,136,Telangana - Warangal East
1749,KISHORE PARUPELLI,New India Party,120,Telangana - Warangal East
1750,PALADUGULA SURENDER,Independent,117,Telangana - Warangal East
1751,SATHISH BODDU,Independent,63,Telangana - Warangal East
1752,None of the Above,None of the Above,2716,Telangana - Warangal East
1753,AROORI RAMESH,Telangana Rashtra Samithi,131252,Telangana - Wardhanapet 
1754,DEVAIAH PAGIDIPATI,Telangana Jana Samithi,32012,Telangana - Wardhanapet 
1755,CHILUMULLA LENIN,Communist Party of India  (Marxist-Leninist)  (Liberation),6367,Telangana - Wardhanapet 
1756,KOTHA SARANGA RAO,Bharatiya Janata Party,6114,Telangana - Wardhanapet 
1757,KANDHARI JANARDHAN,Independent,1702,Telangana - Wardhanapet 
1758,SUDHAMALLA VENKAT SWAMY,Telangana Communist Party of India,1117,Telangana - Wardhanapet 
1759,GANDHAM SHIVA,Bahujan Samaj Party,899,Telangana - Wardhanapet 
1760,VISAMPALLY NAGESH,Independent,738,Telangana - Wardhanapet 
1761,DARSHANAPU RAMESH,Aam Aadmi Party,660,Telangana - Wardhanapet 
1762,NADDUNOORI SAMPATH,Samajwadi Party,567,Telangana - Wardhanapet 
1763,JANNU NARSAIAH,Independent,481,Telangana - Wardhanapet 
1764,JATTY SWAMY,Independent,434,Telangana - Wardhanapet 
1765,NARSIMHA SWAMY VASHAPAKA,Bahujana Left Party,413,Telangana - Wardhanapet 
1766,ELLANDULA SHOBAN BABU,Independent,365,Telangana - Wardhanapet 
1767,AREPALLY KAMALAKAR,Independent,284,Telangana - Wardhanapet 
1768,None of the Above,None of the Above,5864,Telangana - Wardhanapet 
1769,GANDRA VENKATA RAMANA REDDY,Indian National Congress,69918,Telangana - Bhupalpalle
1770,GANDRA SATHYANARAYANA RAO(SATHANNA),All India Forward Bloc,54283,Telangana - Bhupalpalle
1771,SIRIKONDA MADHUSUDANA CHARI,Telangana Rashtra Samithi,53567,Telangana - Bhupalpalle
1772,CHANDUPATLA KEERTHI REDDY,Bharatiya Janata Party,15744,Telangana - Bhupalpalle
1773,SAMPATH MANTHENA,Independent,4787,Telangana - Bhupalpalle
1774,CHALLURI MADHU,Samajwadi Forward Bloc,2171,Telangana - Bhupalpalle
1775,PETTEM MALLIKARJUN,Independent,1847,Telangana - Bhupalpalle
1776,SIRIPELLI RAJAIAH,Independent,1840,Telangana - Bhupalpalle
1777,AKUNURI BAABU,Bahujan Samaj Party,1621,Telangana - Bhupalpalle
1778,DEVARAJU PENDALA,Independent,529,Telangana - Bhupalpalle
1779,VANAJA VEPURI,Bahujana Left Party,362,Telangana - Bhupalpalle
1780,KOUTAM RAVINDER,Independent,242,Telangana - Bhupalpalle
1781,ODELU CHEPURI,Independent,220,Telangana - Bhupalpalle
1782,NARSAIAH RENUKUNTLA,New India Party,211,Telangana - Bhupalpalle
1783,None of the Above,None of the Above,1399,Telangana - Bhupalpalle
1784,ANASUYA DANSARI,Indian National Congress,88971,Telangana - Mulug 
1785,AZMEERA CHANDULAL,Telangana Rashtra Samithi,66300,Telangana - Mulug 
1786,BORRA LAXMINARAYANA,Independent,3348,Telangana - Mulug 
1787,BURKA CHINA VENKATAIAH,Independent,2158,Telangana - Mulug 
1788,THAVITI NARAYANA,Communist Party of India  (Marxist),1674,Telangana - Mulug 
1789,BANOTH DEVILAL,Bharatiya Janata Party,1339,Telangana - Mulug 
1790,PUNEM MURALI KRISHNA,Independent,510,Telangana - Mulug 
1791,KORNIBELLI GANESH,Independent,323,Telangana - Mulug 
1792,KUDUMULA CHOKKAIAH,Independent,271,Telangana - Mulug 
1793,CHELA VENKATA LAXMI,Independent,256,Telangana - Mulug 
1794,BADI KRISHNA,Telangana Prajala Party,218,Telangana - Mulug 
1795,GHANTAMURI SARAIAH,Independent,163,Telangana - Mulug 
1796,None of the Above,None of the Above,3249,Telangana - Mulug 
1797,KANTHA RAO REGA,Indian National Congress,72283,Telangana - Pinapaka 
1798,PAYAM VENKATESWARLU,Telangana Rashtra Samithi,52718,Telangana - Pinapaka 
1799,PALVANCHA DURGA,Independent,5277,Telangana - Pinapaka 
1800,MUKTI SATYAM,Independent,3570,Telangana - Pinapaka 
1801,KATIBOINA NAGESWARA RAO,Communist Party of India  (Marxist),2581,Telangana - Pinapaka 
1802,CHANDA SANTOSH KUMAR,Bharatiya Janata Party,2292,Telangana - Pinapaka 
1803,KALTHI YERRAIAH,Independent,1013,Telangana - Pinapaka 
1804,GUGULOTH VIJAYA,BhartiyaBahujanKranti Dal,704,Telangana - Pinapaka 
1805,KOMARAM RAJASHEKAR,Telangana Prajala Party,516,Telangana - Pinapaka 
1806,THUMMA NAGARAJU,Gondvana Gantantra Party,489,Telangana - Pinapaka 
1807,CHOULAM ARUN KUMAR,Independent,479,Telangana - Pinapaka 
1808,KANITHI VEERABABU,Independent,431,Telangana - Pinapaka 
1809,BORRA RAGHAVULU,Loktantrik Sarvjan Samaj Party,280,Telangana - Pinapaka 
1810,TEJAVATH NARESH,Bahujan Mukti Party,236,Telangana - Pinapaka 
1811,BHUKYA CHITTI BABU,Pyramid Party of India,227,Telangana - Pinapaka 
1812,PAYAM POTHAIAH DORA,Shiv Sena,223,Telangana - Pinapaka 
1813,None of the Above,None of the Above,868,Telangana - Pinapaka 
1814,HARIPRIYA BANOTH,Indian National Congress,70644,Telangana - Yellandu 
1815,KANAKAIAH KORAM,Telangana Rashtra Samithi,67757,Telangana - Yellandu 
1816,GUMMADI NARSAIAH,Independent,12899,Telangana - Yellandu 
1817,YADALLAPALLI SATYAM,Independent,2871,Telangana - Yellandu 
1818,NAAGA SRAVANTHI MOKALLA,Bharatiya Janata Party,1975,Telangana - Yellandu 
1819,MALOTU MUNNA NAIK,Independent,1488,Telangana - Yellandu 
1820,ABBAIAH VOOKE,Independent,1156,Telangana - Yellandu 
1821,HANUMA MOOD,Aam Aadmi Party,891,Telangana - Yellandu 
1822,POLEBOINA MUTHAIAH,Independent,800,Telangana - Yellandu 
1823,MOKALLA PRAGATHI,Independent,601,Telangana - Yellandu 
1824,M. BHANU,Independent,470,Telangana - Yellandu 
1825,BANOTH BALAJI RAO,Independent,260,Telangana - Yellandu 
1826,GUGULOTHU RAVI,Independent,235,Telangana - Yellandu 
1827,GUGULOTH VINOD KUMAR,Independent,179,Telangana - Yellandu 
1828,AREM SUBHASH CHANDRA,Independent,171,Telangana - Yellandu 
1829,EESAM NARASIMHA RAO,Independent,159,Telangana - Yellandu 
1830,None of the Above,None of the Above,1915,Telangana - Yellandu 
1831,AJAY KUMAR PUVVADA,Telangana Rashtra Samithi,102760,Telangana - Khammam
1832,NAMA NAGESWARA RAO,Telugu Desam,91769,Telangana - Khammam
1833,VUPPALA SARADA,Bharatiya Janata Party,2325,Telangana - Khammam
1834,ANWAR RAICE,Independent,2016,Telangana - Khammam
1835,PALVANCHA RAMA RAO,Bahujana Left Party,1091,Telangana - Khammam
1836,ABDUL KAREEM SHAIK,Bahujan Samaj Party,1023,Telangana - Khammam
1837,RALLABANDI NARSIMHA CHARY,Independent,562,Telangana - Khammam
1838,KASINA ANANDAPRASAD,Pyramid Party of India,387,Telangana - Khammam
1839,RAPOLU KIRAN KUMAR,Independent,282,Telangana - Khammam
1840,SK. JAMEEL,Independent,252,Telangana - Khammam
1841,YECHU SUNIL,Independent,185,Telangana - Khammam
1842,APPARAO PATTIPATI,Independent,150,Telangana - Khammam
1843,TUMATI MADHU,Independent,113,Telangana - Khammam
1844,None of the Above,None of the Above,3513,Telangana - Khammam
1845,KANDALA UPENDER REDDY,Indian National Congress,89407,Telangana - Palair
1846,TUMMALA NAGESWAR RAO,Telangana Rashtra Samithi,81738,Telangana - Palair
1847,BATTULA HYMAVATHI,Communist Party of India  (Marxist),6769,Telangana - Palair
1848,NANDIGAMA RAJ KUMAR,Independent,6101,Telangana - Palair
1849,SRIDHAR REDDY KONDAPALLI,Bharatiya Janata Party,1170,Telangana - Palair
1850,SUNKARI RAMAMURTHY,Independent,1157,Telangana - Palair
1851,ACHAIAH GURRAM,Independent,1058,Telangana - Palair
1852,KISHAN YERRABOINA,Bahujan Samaj Party,987,Telangana - Palair
1853,SEEMA RAMBABU,Independent,740,Telangana - Palair
1854,PULLAIAH CHARY BANALA,Pyramid Party of India,608,Telangana - Palair
1855,BANOTH LAXMAN NAIK,Independent,490,Telangana - Palair
1856,GOPOJU RAMESH,Telangana Communist Party of India,261,Telangana - Palair
1857,MANDADAPU SHANKAR RAO,Independent,259,Telangana - Palair
1858,KASANI SRINIVASA RAO,Jai Swaraj Party,148,Telangana - Palair
1859,None of the Above,None of the Above,1271,Telangana - Palair
1860,BHATTI VIKRAMARKA MALLU,Indian National Congress,80598,Telangana - Madhira 
1861,KAMAL RAJU LINGALA,Telangana Rashtra Samithi,77031,Telangana - Madhira 
1862,RAMBABU KOTA,Bahujana Left Party,23030,Telangana - Madhira 
1863,KOTHAPALLI VENKATESWARA RAO,Prajaa Swaraaj Party,1228,Telangana - Madhira 
1864,KATHULA SHYAMALA RAO,Bharatiya Janata Party,1085,Telangana - Madhira 
1865,CHATLA NAGAMANI KUMAR,Bahujan Samaj Party,914,Telangana - Madhira 
1866,BALAVANTHAPU KALYAN KUMAR,Pyramid Party of India,680,Telangana - Madhira 
1867,KOTHAPALLI BABU,Independent,448,Telangana - Madhira 
1868,RAMADAS MARKAPUDI,Telangana Communist Party of India,434,Telangana - Madhira 
1869,SREENIVASA RAO KOPPULA,Independent,266,Telangana - Madhira 
1870,PULIPATI PRAKASH,Independent,218,Telangana - Madhira 
1871,None of the Above,None of the Above,1011,Telangana - Madhira 
1872,LAVUDYA RAMULU,Independent,52650,Telangana - Wyra 
1873,BANOTH MADAN LAL,Telangana Rashtra Samithi,50637,Telangana - Wyra 
1874,BANOTH VIJAYA,Communist Party of India,32757,Telangana - Wyra 
1875,BHUKYA VEERABHADRAM,Communist Party of India  (Marxist),11373,Telangana - Wyra 
1876,VARSA RAMULU,Independent,2588,Telangana - Wyra 
1877,KISHAN BANOTH,Bahujan Samaj Party,1100,Telangana - Wyra 
1878,RESHMA BAI BHUKYA,Bharatiya Janata Party,1025,Telangana - Wyra 
1879,HALAVATH RAMARAO,Pyramid Party of India,996,Telangana - Wyra 
1880,GUGULOTH THAVURYA,Independent,897,Telangana - Wyra 
1881,MALOTHU MANGILAL NAIK,Independent,629,Telangana - Wyra 
1882,LAKAVATH NAGESWARA RAO,Bahujan Mukti Party,321,Telangana - Wyra 
1883,JARPULA PRASAD NAIK,Independent,257,Telangana - Wyra 
1884,BANOTH MANGILAL NAYAK,Independent,254,Telangana - Wyra 
1885,None of the Above,None of the Above,2360,Telangana - Wyra 
1886,SANDRA VENKATA VEERAIAH,Telugu Desam,100044,Telangana - Sathupalli 
1887,PIDAMARTHI RAVI,Telangana Rashtra Samithi,81042,Telangana - Sathupalli 
1888,KOLIKAPOGU SWAMY,Independent,7345,Telangana - Sathupalli 
1889,MACHARLA BHARATHI,Communist Party of India  (Marxist),2673,Telangana - Sathupalli 
1890,NAMBURI RAMALINGESWARA RAO,Bharatiya Janata Party,1390,Telangana - Sathupalli 
1891,ARJUNRAO KANKANALA,Independent,978,Telangana - Sathupalli 
1892,RAVINDER NATHARI,Pyramid Party of India,871,Telangana - Sathupalli 
1893,G.PREM NEEL KUMAR,Bahujan Samaj Party,793,Telangana - Sathupalli 
1894,KANCHARLA VEENAKUMARI,Independent,650,Telangana - Sathupalli 
1895,KONGALA MALLIKARJUNA RAO,India Praja Bandhu Party,613,Telangana - Sathupalli 
1896,GADDALA SUBBARAO,Jai Swaraj Party,210,Telangana - Sathupalli 
1897,None of the Above,None of the Above,1672,Telangana - Sathupalli 
1898,VANAMA VENKATESWARA RAO,Indian National Congress,81118,Telangana - Kothagudem 
1899,JALAGAM VENKAT RAO,Telangana Rashtra Samithi,76979,Telangana - Kothagudem 
1900,ADAVALLI KRISHNA,Bahujana Left Party,5520,Telangana - Kothagudem 
1901,VAMSI KRISHNA ESSAMPALLI,Independent,1943,Telangana - Kothagudem 
1902,BYREDDY PRABHAKAR REDDY,Bharatiya Janata Party,1466,Telangana - Kothagudem 
1903,KOMARAM BUCHAIAH,Independent,1161,Telangana - Kothagudem 
1904,VENKATESH DHARAVATH,Independent,984,Telangana - Kothagudem 
1905,MEDABOINA VENKATESWAR RAO,Independent,520,Telangana - Kothagudem 
1906,HANUMANTHA RAO SURAMPALLI,Pyramid Party of India,475,Telangana - Kothagudem 
1907,BHUKYA CHANDRA SHEKAR,Loktantrik Sarvjan Samaj Party,436,Telangana - Kothagudem 
1908,SATISH GUNDAPUNENI,Aam Aadmi Party,408,Telangana - Kothagudem 
1909,RAMANAREDDY SUREDDY,Independent,310,Telangana - Kothagudem 
1910,GUGULOTHU NARESH,Independent,309,Telangana - Kothagudem 
1911,G. RAJESH NAIK,Bahujan Mukti Party,206,Telangana - Kothagudem 
1912,AVUTAPALLI RAMALINGESWARA RAO,Independent,186,Telangana - Kothagudem 
1913,AZAM SHAIK,Independent,168,Telangana - Kothagudem 
1914,ANTAR SATISH,Independent,129,Telangana - Kothagudem 
1915,None of the Above,None of the Above,1103,Telangana - Kothagudem 
1916,MECHA NAGESWARA RAO,Telugu Desam,61124,Telangana - Aswaraopeta 
1917,THATI VENKATESWARLU S/O KATTAPPA THATI,Telangana Rashtra Samithi,48007,Telangana - Aswaraopeta 
1918,TANAM RAVINDAR,Communist Party of India  (Marxist),4955,Telangana - Aswaraopeta 
1919,KANGALA KALLIAH,Independent,4833,Telangana - Aswaraopeta 
