,Candidate,Party,Votes,Constituency
1076,GYANENDRA ARYA (SUNIL),Rashtravadi Party (Bharat),502,Madhya Pradesh - RAIGAON
1077,BACHCHA KANJAR,Jan Adhikar Party,481,Madhya Pradesh - RAIGAON
1078,SANTOSH KUMAR PRAJAPATI,Peoples Party of India (Democratic),427,Madhya Pradesh - RAIGAON
1079,RAM VISHWAS PRAJAPATI,Gondvana Gantantra Party,348,Madhya Pradesh - RAIGAON
1080,RAM CHARIT VARMA,Bahujan Sangharshh Dal,334,Madhya Pradesh - RAIGAON
1081,RAJENDRA PRASAD VARMA,Apna Dal (Soneylal),302,Madhya Pradesh - RAIGAON
1082,None of the Above,None of the Above,1084,Madhya Pradesh - RAIGAON
1083,DABBU SIDDHARTH SUKHLAL  KUSHWAHA,Indian National Congress,60105,Madhya Pradesh - SATNA
1084,SHANKARLAL TIWARI,Bharatiya Janata Party,47547,Madhya Pradesh - SATNA
1085,PUSHKAR SINGH TOMAR,Bahujan Samaj Party,35064,Madhya Pradesh - SATNA
1086,RAMORAM GUPTA,Sapaks Party,7984,Madhya Pradesh - SATNA
1087,PHOUJI SANDEEP BABA,Rashtravadi Party (Bharat),1109,Madhya Pradesh - SATNA
1088,VIJAY VISHWAKARMA EX.ARMY,Independent,928,Madhya Pradesh - SATNA
1089,NISHANT SHRIVASTAVA,Aam Aadmi Party,864,Madhya Pradesh - SATNA
1090,SHASHANK SINGH,Anarakshit Samaj Party,759,Madhya Pradesh - SATNA
1091,ANIL KEWAT,Adhikar Vikas Party,678,Madhya Pradesh - SATNA
1092,SUDEEP SHUKLA (PINKU) (DEAF),Apna Dal (Soneylal),613,Madhya Pradesh - SATNA
1093,NANDLAL SAHU,Akhil Bharat Hindu Mahasabha,506,Madhya Pradesh - SATNA
1094,AKBAR MASTAN KHAN,Independent,460,Madhya Pradesh - SATNA
1095,RAKESH GARG (KHUTHA),Shiv Sena,396,Madhya Pradesh - SATNA
1096,KRISHAN KUMAR DWIVEDI( LALLU BADGHIYA),Independent,322,Madhya Pradesh - SATNA
1097,SHYAMA AHIRWAR (SHYAMLAL SAKET),Independent,308,Madhya Pradesh - SATNA
1098,SHOBHIT KUMAR PANDEY,Independent,275,Madhya Pradesh - SATNA
1099,JITENDRA KUMAR ROY,Janata Congress,273,Madhya Pradesh - SATNA
1100,JITENDRA SINGH (JITTU),Independent,259,Madhya Pradesh - SATNA
1101,RASHMI,Independent,237,Madhya Pradesh - SATNA
1102,JAGJEEVANRAM (J.J.KALAKAR),Bahujan Sangharshh Dal,221,Madhya Pradesh - SATNA
1103,ENGINEER AKASH JAISWAL,Peoples Party of India (Democratic),220,Madhya Pradesh - SATNA
1104,LAL PRAMOD SINGH,Sarvadharam Party (Madhya Pradesh),215,Madhya Pradesh - SATNA
1105,NIRMALA TIWARI,Bhartiya Shakti Chetna Party,179,Madhya Pradesh - SATNA
1106,RAJENDRA KUMAR VERMA,Independent,162,Madhya Pradesh - SATNA
1107,"SHIVVARAN""G"" BAGHA",Independent,148,Madhya Pradesh - SATNA
1108,RAMSAJJAN MALLAH,Independent,137,Madhya Pradesh - SATNA
1109,VINOD GUPTA,Independent,128,Madhya Pradesh - SATNA
1110,TRIBHUWAN PRASAD PANDEY,Independent,126,Madhya Pradesh - SATNA
1111,RABIA KHAN,Independent,125,Madhya Pradesh - SATNA
1112,NAUSHAD HUSSAIN (MUNNA BABU),Independent,66,Madhya Pradesh - SATNA
1113,None of the Above,None of the Above,973,Madhya Pradesh - SATNA
1114,NAGENDRA SINGH,Bharatiya Janata Party,54637,Madhya Pradesh - NAGOD
1115,YADVENDRA SINGH,Indian National Congress,53403,Madhya Pradesh - NAGOD
1116,DR. RASHMI SINGH ARUNENDRA SINGH,Independent,25700,Madhya Pradesh - NAGOD
1117,ADV. RAMBIHARI,Bahujan Samaj Party,22428,Madhya Pradesh - NAGOD
1118,RAMSAJEEVAN KOL,Gondvana Gantantra Party,1934,Madhya Pradesh - NAGOD
1119,PREMLAL,Independent,1242,Madhya Pradesh - NAGOD
1120,VIVEK SINGH LODHI,Aam Aadmi Party,1172,Madhya Pradesh - NAGOD
1121,AVADHRAJ SINGH,Independent,972,Madhya Pradesh - NAGOD
1122,PRASANNA PRATAP SINGH,Independent,943,Madhya Pradesh - NAGOD
1123,BIRENDRA BHAI PATEL,Samajwadi Party,912,Madhya Pradesh - NAGOD
1124,SUNEEL KUMAR SONU BHAIYA,Sapaks Party,810,Madhya Pradesh - NAGOD
1125,GAJENDRA SINGH LODHI,Pichhara Samaj Party United,487,Madhya Pradesh - NAGOD
1126,SANT KUMAR GUPTA (PAPPU BHAIYA),Bhartiya Shakti Chetna Party,424,Madhya Pradesh - NAGOD
1127,RAJENDRA JAISWAL,Peoples Party of India (Democratic),357,Madhya Pradesh - NAGOD
1128,PHOOLAN DEVI BAGARI,Akhil Bhartiya Apna Dal,272,Madhya Pradesh - NAGOD
1129,None of the Above,None of the Above,2301,Madhya Pradesh - NAGOD
1130,NARAYAN TRIPATHI,Bharatiya Janata Party,54877,Madhya Pradesh - MAIHAR
1131,SHRIKANT CHATURVEDI,Indian National Congress,51893,Madhya Pradesh - MAIHAR
1132,MANISH PATEL,Gondvana Gantantra Party,33397,Madhya Pradesh - MAIHAR
1133,NAGENDRA SINGH (LALLU PATEL),Bahujan Samaj Party,18418,Madhya Pradesh - MAIHAR
1134,RAMNIWAS URMALIYA,Samajwadi Party,11202,Madhya Pradesh - MAIHAR
1135,ER. PUSHPENDRA SINGH,Aam Aadmi Party,1795,Madhya Pradesh - MAIHAR
1136,NOOR MOHAMMAD URF KALLU BHAI,Independent,1580,Madhya Pradesh - MAIHAR
1137,SHIVAM PANDEY URF SHIBBU,Sampoorna Samaj Party,1424,Madhya Pradesh - MAIHAR
1138,RAMNIVAS KUSHWAHA,Bhartiya Shakti Chetna Party,1335,Madhya Pradesh - MAIHAR
1139,KAMTA PRASAD LODHI,Pichhara Samaj Party United,971,Madhya Pradesh - MAIHAR
1140,VIPIN KUMAR PANDEY,Madhya Pradesh Jan Vikas Party,906,Madhya Pradesh - MAIHAR
1141,RAJESH KUMAR GAUTAM,Shiv Sena,755,Madhya Pradesh - MAIHAR
1142,VIJAY KUMAR BHATT,Sapaks Party,613,Madhya Pradesh - MAIHAR
1143,GORELAL KOL,All India Forward Bloc,586,Madhya Pradesh - MAIHAR
1144,None of the Above,None of the Above,2166,Madhya Pradesh - MAIHAR
1145,RAMKHELAWAN PATEL,Bharatiya Janata Party,59836,Madhya Pradesh - AMARPATAN
1146,"DR. RAJENDRA KUMAR SINGH ""DADA BHAI""",Indian National Congress,56089,Madhya Pradesh - AMARPATAN
1147,CHHANGELAL KOL,Bahujan Samaj Party,37918,Madhya Pradesh - AMARPATAN
1148,OM PRAKASH GAUTAM,Independent,1908,Madhya Pradesh - AMARPATAN
1149,RAJIV LOCHAN TIWARI,Independent,1625,Madhya Pradesh - AMARPATAN
1150,AMIT KUMAR TIWARI,Samajwadi Party,1495,Madhya Pradesh - AMARPATAN
1151,COM. RAJDHANI SINGH,Communist Party of India,1427,Madhya Pradesh - AMARPATAN
1152,JITENDRA CHAURASIYA,Aam Aadmi Party,899,Madhya Pradesh - AMARPATAN
1153,MO. HABEB,Apna Dal (Soneylal),794,Madhya Pradesh - AMARPATAN
1154,DR. SANTOSH KUMAR GUPTA,Gondvana Gantantra Party,750,Madhya Pradesh - AMARPATAN
1155,ER. VIRENDRA KUMAR PATEL,Independent,612,Madhya Pradesh - AMARPATAN
1156,SHIVKUMAR TRIPATHI,Bharatiya Jan Morcha Party,487,Madhya Pradesh - AMARPATAN
1157,'YOGI' PRADEEP TIWARI AD.,Sapaks Party,397,Madhya Pradesh - AMARPATAN
1158,DINESH KEWAT (MANJHI),Rashtriya mahan Gantantra Party,376,Madhya Pradesh - AMARPATAN
1159,DADHIBAL PRASAD PATEL,Akhil Bhartiya Apna Dal,261,Madhya Pradesh - AMARPATAN
1160,None of the Above,None of the Above,2380,Madhya Pradesh - AMARPATAN
1161,VIKRAM SINGH(VIKKI),Bharatiya Janata Party,68816,Madhya Pradesh - RAMPUR BAGHELAN
1162,RAMLAKHAN SINGH PATEL,Bahujan Samaj Party,53129,Madhya Pradesh - RAMPUR BAGHELAN
1163,"""RAMSHANKAR PAYASI""",Indian National Congress,42501,Madhya Pradesh - RAMPUR BAGHELAN
1164,K.K. SHUKLA,Communist Party of India  (Marxist),1948,Madhya Pradesh - RAMPUR BAGHELAN
1165,ASHOK BAUDDH,Independent,1736,Madhya Pradesh - RAMPUR BAGHELAN
1166,LAVKESH SINGH,Bhartiya Shakti Chetna Party,1419,Madhya Pradesh - RAMPUR BAGHELAN
1167,AMBIKA KOL BHARTI,Independent,993,Madhya Pradesh - RAMPUR BAGHELAN
1168,RAMKUSHAL KEWAT,Rashtriya mahan Gantantra Party,979,Madhya Pradesh - RAMPUR BAGHELAN
1169,KRISHNA KUMAR SINGH,Sapaks Party,866,Madhya Pradesh - RAMPUR BAGHELAN
1170,RAMKRISHN KOL,Independent,802,Madhya Pradesh - RAMPUR BAGHELAN
1171,URMILA KOL,Independent,762,Madhya Pradesh - RAMPUR BAGHELAN
1172,PRASHANT PANDEY,Aam Aadmi Party,702,Madhya Pradesh - RAMPUR BAGHELAN
1173,PANKAJ SINGH,Rashtriya Sanyukt Samaj Party,582,Madhya Pradesh - RAMPUR BAGHELAN
1174,BRAJENDRA PRASAD PANDEY,Independent,450,Madhya Pradesh - RAMPUR BAGHELAN
1175,RAJESH PANDEY,Shiv Sena,409,Madhya Pradesh - RAMPUR BAGHELAN
1176,GIRJA SINGH PATEL,Bahujan Sangharshh Dal,378,Madhya Pradesh - RAMPUR BAGHELAN
1177,ENGINEER R.N. SINGH KUSHWAHA,Independent,360,Madhya Pradesh - RAMPUR BAGHELAN
1178,AMIT SINGH TIWARI(ADVOCATE),All India Forward Bloc,335,Madhya Pradesh - RAMPUR BAGHELAN
1179,GEETA RAMSINGH NAHAR(KUSHWAHA),Jan Adhikar Party,306,Madhya Pradesh - RAMPUR BAGHELAN
1180,GORELAL,Lokpriya Samaj Party,300,Madhya Pradesh - RAMPUR BAGHELAN
1181,"""SHYAMLAL PRAJAPATI""",Independent,208,Madhya Pradesh - RAMPUR BAGHELAN
1182,SUNEEL MISHRA,Independent,191,Madhya Pradesh - RAMPUR BAGHELAN
1183,RAM PRASAD YADAV,Independent,186,Madhya Pradesh - RAMPUR BAGHELAN
1184,None of the Above,None of the Above,590,Madhya Pradesh - RAMPUR BAGHELAN
1185,DIVYARAJ SINGH,Bharatiya Janata Party,49443,Madhya Pradesh - SIRMOUR
1186,DR. ARUNA VIVEK TIWARI,Indian National Congress,36042,Madhya Pradesh - SIRMOUR
1187,RAMGARIB BANVASI,Bahujan Samaj Party,18466,Madhya Pradesh - SIRMOUR
1188,PRADEEP SINGH PATNA,Samajwadi Party,11144,Madhya Pradesh - SIRMOUR
1189,SATISH SHUKLA,Sapaks Party,1564,Madhya Pradesh - SIRMOUR
1190,LAL MANI KUSHWAHA,Rashtriya Lok Samta Party,1092,Madhya Pradesh - SIRMOUR
1191,LAXMI KANT MISHRA,Rashtriya Sanyukt Samaj Party,1049,Madhya Pradesh - SIRMOUR
1192,VIDYAPAL GAUTAM,Independent,1039,Madhya Pradesh - SIRMOUR
1193,RAJKUMAR URMALIYA,Janata Dal  (Secular),900,Madhya Pradesh - SIRMOUR
1194,COM. GAYA PRASAD MISHRA,Communist Party of India,765,Madhya Pradesh - SIRMOUR
1195,DILEEP SINGH,Peoples Party of India (Democratic),725,Madhya Pradesh - SIRMOUR
1196,PRAMOD PAYASI,Aam Aadmi Party,707,Madhya Pradesh - SIRMOUR
1197,"ALIND DWIVEDI "" TANU """,Anarakshit Samaj Party,647,Madhya Pradesh - SIRMOUR
1198,SUBHRANSHU DWIVEDI - PADARI,Public Political Party,604,Madhya Pradesh - SIRMOUR
1199,JOKHULAL KOL,Communist Party of India  (Marxist),410,Madhya Pradesh - SIRMOUR
1200,RAJESH TIWARI,Independent,409,Madhya Pradesh - SIRMOUR
1201,VISHNU CHATURVEDI,Bhartiya Shakti Chetna Party,405,Madhya Pradesh - SIRMOUR
1202,VINAY KUMAR TIWARI,Shiv Sena,365,Madhya Pradesh - SIRMOUR
1203,URMILA GAUTAM,Akhil Bharatiya Hind Kranti Party,364,Madhya Pradesh - SIRMOUR
1204,GAUTAM OMKAR NATH,Independent,141,Madhya Pradesh - SIRMOUR
1205,None of the Above,None of the Above,651,Madhya Pradesh - SIRMOUR
1206,K.P. TRIPATHI,Bharatiya Janata Party,47889,Madhya Pradesh - SEMARIYA
1207,TRIYUGI NARAYAN SHUKLA (BHAGAT),Indian National Congress,40113,Madhya Pradesh - SEMARIYA
1208,PANKAJ SINGH,Bahujan Samaj Party,38477,Madhya Pradesh - SEMARIYA
1209,RAMRATI KEWAT,Rashtriya Apna Dal,1485,Madhya Pradesh - SEMARIYA
1210,RAJKUMAR TIWARI,Sapaks Party,882,Madhya Pradesh - SEMARIYA
1211,TIRATH PRASAD KOL,Independent,806,Madhya Pradesh - SEMARIYA
1212,RAMKISHAN NIRAT,Republican Party of India (A),758,Madhya Pradesh - SEMARIYA
1213,PRAMOD SHARMA,Aam Aadmi Party,745,Madhya Pradesh - SEMARIYA
1214,"SAUKHILAL TIWARI ""BABAIYA""",Communist Party of India  (Marxist),711,Madhya Pradesh - SEMARIYA
1215,RAKESH YADAV,Aadim Samaj Party,509,Madhya Pradesh - SEMARIYA
1216,BASANT LAL KOL,Bahujan Mukti Party,489,Madhya Pradesh - SEMARIYA
1217,RAMKALESH SAKET,Independent,422,Madhya Pradesh - SEMARIYA
1218,RAJENDRA SINGH,Independent,366,Madhya Pradesh - SEMARIYA
1219,ARUN PRATAP SINGH,Apna Dal (Soneylal),347,Madhya Pradesh - SEMARIYA
1220,GHANSHYAM PRASAD MISHRA,Bhartiya Shakti Chetna Party,343,Madhya Pradesh - SEMARIYA
1221,BABULAL SEN,Janata Congress,327,Madhya Pradesh - SEMARIYA
1222,RAMSAJIVAN TIWARI,Independent,276,Madhya Pradesh - SEMARIYA
1223,RAJNEESH PRAJAPATI,Peoples Party of India (Democratic),272,Madhya Pradesh - SEMARIYA
1224,VIVEK SINGH (NEELU BHAIYA),Independent,258,Madhya Pradesh - SEMARIYA
1225,YASHWANT CHUDHRI,Jan Adhikar Party,193,Madhya Pradesh - SEMARIYA
1226,GOPAL PRASAD SATNAMI,Sarvadharam Party (Madhya Pradesh),162,Madhya Pradesh - SEMARIYA
1227,RAMLOTAN CHAUDHARI,Independent,152,Madhya Pradesh - SEMARIYA
1228,None of the Above,None of the Above,452,Madhya Pradesh - SEMARIYA
1229,SHYAMÂ LALÂ DWIVEDI,Bharatiya Janata Party,52729,Madhya Pradesh - TEONTHAR
1230,RAMASHANKAR SINGH,Indian National Congress,47386,Madhya Pradesh - TEONTHAR
1231,GEETAÂ RAJMANIÂ MAJHI,Bahujan Samaj Party,17396,Madhya Pradesh - TEONTHAR
1232,RAMASHRAY HARIJAN,Independent,1450,Madhya Pradesh - TEONTHAR
1233,RANJAN TRIPATHI,Independent,1308,Madhya Pradesh - TEONTHAR
1234,DHARMENDRAÂ KUMARÂ GAUTAMÂ (DADU),Sapaks Party,1295,Madhya Pradesh - TEONTHAR
1235,ROSHANLAL MANJHI,Independent,1071,Madhya Pradesh - TEONTHAR
1236,INDRANATHÂ TIWARI,Independent,935,Madhya Pradesh - TEONTHAR
1237,RAMASAJEEVAN,Independent,883,Madhya Pradesh - TEONTHAR
1238,RADHESHYAM,Bahujan Mukti Party,746,Madhya Pradesh - TEONTHAR
1239,"SUKHADEO VERMA ""MADARO""",Independent,633,Madhya Pradesh - TEONTHAR
1240,SHIVCHARAN KUSHWAHA (MATHUR),Jan Adhikar Party,557,Madhya Pradesh - TEONTHAR
1241,"""JWALA"" SHAILENDRA KUMAR PANDEY",Independent,555,Madhya Pradesh - TEONTHAR
1242,C.P.Â SINGH,Aam Aadmi Party,553,Madhya Pradesh - TEONTHAR
1243,BHAGAWAT PRASAD TIWARI,Bhartiya Shakti Chetna Party,488,Madhya Pradesh - TEONTHAR
1244,SHIV KUMAR TIWARI,Independent,441,Madhya Pradesh - TEONTHAR
1245,YOGENDRAÂ PRASADÂ TIWARI,Adhikar Vikas Party,316,Madhya Pradesh - TEONTHAR
1246,SUMIT KUMAR SHIVADIYA,Independent,295,Madhya Pradesh - TEONTHAR
1247,INDRAPAL SETHI,Independent,242,Madhya Pradesh - TEONTHAR
1248,RAJPAL KORI,Peoples Party of India (Democratic),213,Madhya Pradesh - TEONTHAR
1249,None of the Above,None of the Above,300,Madhya Pradesh - TEONTHAR
1250,PRADEEP PATEL,Bharatiya Janata Party,47753,Madhya Pradesh - MAUGANJ
1251,"SUKHENDRA SINGH ""BANNA""",Indian National Congress,36661,Madhya Pradesh - MAUGANJ
1252,MRIGENDRA SINGH,Bahujan Samaj Party,28413,Madhya Pradesh - MAUGANJ
1253,LAXMAN TIWARI,Independent,10372,Madhya Pradesh - MAUGANJ
1254,HEERAMANI DIPANKAR,Independent,2691,Madhya Pradesh - MAUGANJ
1255,HEERALAL YADAV RADHE-RADHE KAILASHPUR,Independent,1220,Madhya Pradesh - MAUGANJ
1256,VISHWANATH DWIVEDI,Independent,1099,Madhya Pradesh - MAUGANJ
1257,BHAIYALAL SINGH GOND,Gondvana Gantantra Party,980,Madhya Pradesh - MAUGANJ
1258,AMRIT LAL PATEL,Apna Dal (Soneylal),858,Madhya Pradesh - MAUGANJ
1259,RAMMANI SHUKLA (GARG-GADA),Sapaks Party,672,Madhya Pradesh - MAUGANJ
1260,BRAHMA DATTA  MISHRA,Independent,666,Madhya Pradesh - MAUGANJ
1261,BANSHMANI PRASAD SHUKLA,Aam Aadmi Party,649,Madhya Pradesh - MAUGANJ
1262,SETH NANHAKURAM GUPTA,Independent,605,Madhya Pradesh - MAUGANJ
1263,MUKESH PRASAD MISHRA ADVOCATE,Shiv Sena,492,Madhya Pradesh - MAUGANJ
1264,ADVOCATE SUKHCHAIN PATEL,Samajwadi Party,465,Madhya Pradesh - MAUGANJ
1265,PUSHKAR KUSHWAHA,Jan Adhikar Party,353,Madhya Pradesh - MAUGANJ
1266,BADRI PRASAD VERMA,Peoples Party of India (Democratic),235,Madhya Pradesh - MAUGANJ
1267,None of the Above,None of the Above,776,Madhya Pradesh - MAUGANJ
1268,GIRISH GAUTAM,Bharatiya Janata Party,45043,Madhya Pradesh - DEOTALAB
1269,SEEMA JAIVEER SINGH SENGAR,Bahujan Samaj Party,43963,Madhya Pradesh - DEOTALAB
1270,ADV. VIDYA WATI PATEL,Indian National Congress,30383,Madhya Pradesh - DEOTALAB
1271,RAMYAGYA SONDHIYA (AD.),Samajwadi Party,2213,Madhya Pradesh - DEOTALAB
1272,AKHILESH SAKET,Independent,2210,Madhya Pradesh - DEOTALAB
1273,ASHOK KUMAR PANDEY,Independent,1796,Madhya Pradesh - DEOTALAB
1274,ABHISHEK MASTER BUDDHSEN PATEL,Independent,1759,Madhya Pradesh - DEOTALAB
1275,ASHA TIWARI,Independent,844,Madhya Pradesh - DEOTALAB
1276,PARMASHWAR PRASAD DUBAY,Independent,775,Madhya Pradesh - DEOTALAB
1277,RAKESH SINGH TIWARI (BABLU),Sapaks Party,708,Madhya Pradesh - DEOTALAB
1278,ANGAD YADAV,Aam Aadmi Party,705,Madhya Pradesh - DEOTALAB
1279,RAJPRAKASH MISHRA PANNIHA,Bhartiya Shakti Chetna Party,573,Madhya Pradesh - DEOTALAB
1280,MAMTA PATEL,Apna Dal (Soneylal),563,Madhya Pradesh - DEOTALAB
1281,RAMESHWAR PRASAD GUPTA,Jan Adhikar Party,553,Madhya Pradesh - DEOTALAB
1282,GAURI SHANKAR SAKET,Independent,461,Madhya Pradesh - DEOTALAB
1283,RAJESH KUMAR NAPIT,Janata Congress,357,Madhya Pradesh - DEOTALAB
1284,MOTILAL SAKET,Independent,352,Madhya Pradesh - DEOTALAB
1285,PANKAJ TIWARI,Independent,352,Madhya Pradesh - DEOTALAB
1286,NIRUPAMA PUSHPENDRA PATEL,Peoples Party of India (Democratic),348,Madhya Pradesh - DEOTALAB
1287,GIRISH GAUTAM,Akhil Bharatiya Hind Kranti Party,309,Madhya Pradesh - DEOTALAB
1288,RAM KUSHAL PATEL,Pichhara Samaj Party United,282,Madhya Pradesh - DEOTALAB
1289,PRADEEP SINGH,Independent,206,Madhya Pradesh - DEOTALAB
1290,BANSHROOP PRASAD PATEL,Independent,190,Madhya Pradesh - DEOTALAB
1291,None of the Above,None of the Above,623,Madhya Pradesh - DEOTALAB
1292,PANCHU LAL PRAJAPATI,Bharatiya Janata Party,64488,Madhya Pradesh - MANGAWAN
1293,BABITA SAKET,Indian National Congress,45958,Madhya Pradesh - MANGAWAN
1294,DR. SHEELA TYAGI,Bahujan Samaj Party,11969,Madhya Pradesh - MANGAWAN
1295,MAHENDRA DAHIYA,Independent,1373,Madhya Pradesh - MANGAWAN
1296,MANINDRA SAKET,Jan Samman party,1315,Madhya Pradesh - MANGAWAN
1297,BABULAL SAKET,Independent,823,Madhya Pradesh - MANGAWAN
1298,JULPHI LAL SAKET,Independent,739,Madhya Pradesh - MANGAWAN
1299,KAMLESH PASWAN,Sapaks Party,646,Madhya Pradesh - MANGAWAN
1300,DWARIKA PRASAD SAKET,Apna Dal (Soneylal),588,Madhya Pradesh - MANGAWAN
1301,SIYASHARAN KORI,Peoples Party of India (Democratic),499,Madhya Pradesh - MANGAWAN
1302,MAHARATHI PRASAD SAKET,Aam Aadmi Party,490,Madhya Pradesh - MANGAWAN
1303,DAYANAND SAKET,Independent,441,Madhya Pradesh - MANGAWAN
1304,TEERATH PRASAD-T. P. SAKET,Bahujan Mukti Party,369,Madhya Pradesh - MANGAWAN
1305,NAGENDRA PRASAD SAKET,Bahujan Sangharshh Dal,367,Madhya Pradesh - MANGAWAN
1306,None of the Above,None of the Above,2797,Madhya Pradesh - MANGAWAN
1307,RAJENDRA SHUKLA,Bharatiya Janata Party,69806,Madhya Pradesh - REWA
1308,ABHAY MISHRA,Indian National Congress,51717,Madhya Pradesh - REWA
1309,KASIM KHAN,Bahujan Samaj Party,6427,Madhya Pradesh - REWA
1310,KRISHNA KUMAR GUPTA (K.K.),Apna Dal (Soneylal),1603,Madhya Pradesh - REWA
1311,SOMESH PRATAP SINGH,Sapaks Party,867,Madhya Pradesh - REWA
1312,ENG. SURYABHAN JAISWAL,Peoples Party of India (Democratic),783,Madhya Pradesh - REWA
1313,RAMAYAN SINGH,Samajwadi Party,751,Madhya Pradesh - REWA
1314,SHIVENDRA DWIVEDI,Bhartiya Shakti Chetna Party,735,Madhya Pradesh - REWA
1315,GAURAV VARMA,Aam Aadmi Party,478,Madhya Pradesh - REWA
1316,AJIJ KHAN (MUNNA),Independent,336,Madhya Pradesh - REWA
1317,SUBHRANSHU DWIVEDI - PADRI,Public Political Party,268,Madhya Pradesh - REWA
1318,RAJENDRA SHUKLA,Independent,251,Madhya Pradesh - REWA
1319,ADVOCATE VIJAY MISHRA,All India Forward Bloc,235,Madhya Pradesh - REWA
1320,ROHIT PATIL,Shiv Sena,223,Madhya Pradesh - REWA
1321,CHHOTELAL RAJAK,Bahujan Mukti Party,219,Madhya Pradesh - REWA
1322,SHEMPOO VISHWAKARMA,Independent,199,Madhya Pradesh - REWA
1323,KOMAL CHANDRA PATEL,Shoshit Samaj Dal,190,Madhya Pradesh - REWA
1324,ADVOCATE DEEPAK GUPTA,Adhikar Vikas Party,175,Madhya Pradesh - REWA
1325,ADV. DEVENDRA SHUKLA,Independent,156,Madhya Pradesh - REWA
1326,PRASHANT SINGH BAGHEL,Janata Dal  (Secular),150,Madhya Pradesh - REWA
1327,DEENANATH SEN,Janata Congress,145,Madhya Pradesh - REWA
1328,HIMANSHU SHUKLA,Rashtriya Kisan Vikas Party,131,Madhya Pradesh - REWA
1329,SUSHIL MISHRA (SABKE MAHARJ),Independent,112,Madhya Pradesh - REWA
1330,"ARVIND TRIPATHI ""BHAYBHIT""",Independent,86,Madhya Pradesh - REWA
1331,UMA MISHRA,Independent,75,Madhya Pradesh - REWA
1332,None of the Above,None of the Above,660,Madhya Pradesh - REWA
1333,NAGENDRA SINGH,Bharatiya Janata Party,42569,Madhya Pradesh - GURH
1334,"KAPIDHWAJ SINGH ""BHAIYA""",Samajwadi Party,34741,Madhya Pradesh - GURH
1335,SUNDERLAL TIWARI,Indian National Congress,32735,Madhya Pradesh - GURH
1336,MUNIRAJ PATEL,Bahujan Samaj Party,27063,Madhya Pradesh - GURH
1337,BALENDRA KUMAR SHUKLA,Aam Aadmi Party,1639,Madhya Pradesh - GURH
1338,RAMNIWASH VISWAKARMA,Independent,1623,Madhya Pradesh - GURH
1339,JITENDRA MISHRA,Independent,1177,Madhya Pradesh - GURH
1340,SHESHMANI KOL,Independent,832,Madhya Pradesh - GURH
1341,KAMLESHWAR TIWARI,Independent,756,Madhya Pradesh - GURH
1342,NANDLAL SEN,Jan Samman party,728,Madhya Pradesh - GURH
1343,RANNU LAL SAKET,Independent,712,Madhya Pradesh - GURH
1344,JAI PRAKASH KUSHWAHA,Jan Adhikar Party,574,Madhya Pradesh - GURH
1345,DHIRENDRA SINGH PATEL,Bhartiya Shakti Chetna Party,496,Madhya Pradesh - GURH
1346,SANJAY CHAURASIYA,Shiv Sena,440,Madhya Pradesh - GURH
1347,SURENDRA SEN,Republican Party of India (A),416,Madhya Pradesh - GURH
1348,"PRABHUDATT DUBEY "" MAMA""",Sapaks Party,337,Madhya Pradesh - GURH
1349,RAMESH KUMAR BARI,Rashtriya Apna Dal,271,Madhya Pradesh - GURH
1350,None of the Above,None of the Above,831,Madhya Pradesh - GURH
1351,SHARADENDU TIWARI,Bharatiya Janata Party,71909,Madhya Pradesh - CHURHAT
1352,AJAY ARJUN SINGH,Indian National Congress,65507,Madhya Pradesh - CHURHAT
1353,VIVEK KOL,Bahujan Samaj Party,2997,Madhya Pradesh - CHURHAT
1354,DADAN SINGH,Independent,2248,Madhya Pradesh - CHURHAT
1355,ANAND PANDEY,Communist Party of India,1961,Madhya Pradesh - CHURHAT
1356,SHRI ARJUN PRASAD SONDHIYA,Independent,1692,Madhya Pradesh - CHURHAT
1357,CHOTU KOL,Jan Samman party,1646,Madhya Pradesh - CHURHAT
1358,RAJIV KUMAR TIWARI,Independent,1583,Madhya Pradesh - CHURHAT
1359,DHARMENDRA SINGH BAGHEL,Independent,1308,Madhya Pradesh - CHURHAT
1360,ARUN KUMAR MISHRA,Samata Samadhan Party,1204,Madhya Pradesh - CHURHAT
1361,DADDU LAL PANDEY,Bhartiya Shakti Chetna Party,895,Madhya Pradesh - CHURHAT
1362,MULNIVASI HANUMAN SAHU,Peoples Party of India (Democratic),817,Madhya Pradesh - CHURHAT
1363,"RAKESH KUMAR DUBEY ""MAI KE LAL""",Sapaks Party,712,Madhya Pradesh - CHURHAT
1364,MANEESH KUMAR SHARMA,Aam Aadmi Party,572,Madhya Pradesh - CHURHAT
1365,JAGDISH PRASAD TIWARI,Independent,464,Madhya Pradesh - CHURHAT
1366,ASHOK KUMAR VERMA (ADVOCATE),Independent,448,Madhya Pradesh - CHURHAT
1367,ADVOCATE-RAGHUNANDAN SINGH,Apna Dal (Soneylal),339,Madhya Pradesh - CHURHAT
1368,RAJROOP BAIS,Independent,335,Madhya Pradesh - CHURHAT
1369,"SANDEEP PANDEY ""DEEPU BHAI""",Independent,260,Madhya Pradesh - CHURHAT
1370,DINENDRA PRASAD DWIVEDI,Vishva SHakti Party,255,Madhya Pradesh - CHURHAT
1371,SATYA NARAYAN PATEL,Independent,243,Madhya Pradesh - CHURHAT
