,Candidate,Party,Votes,Constituency
0,JAGDISH CHANDER,Indian National Congress,73153,Rajasthan - Sadulshahar
1,GURVEER SINGH BRAR,Bharatiya Janata Party,63477,Rajasthan - Sadulshahar
2,OM BISHNOI,Independent,36767,Rajasthan - Sadulshahar
3,PALA RAM,Communist Party of India  (Marxist),2602,Rajasthan - Sadulshahar
4,AVTAR SINGH,Communist Party of India,1764,Rajasthan - Sadulshahar
5,BALWANT NIMIWAL,Abhinav Rajasthan Party,1744,Rajasthan - Sadulshahar
6,VINOD KHICHAR,Bahujan Samaj Party,1097,Rajasthan - Sadulshahar
7,ANKIT BHAMBHU,Aam Aadmi Party,1072,Rajasthan - Sadulshahar
8,MAJOR SINGH,Independent,783,Rajasthan - Sadulshahar
9,NIRANJAN SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),347,Rajasthan - Sadulshahar
10,KRISHAN GOSWAMI,Republican Party of India (A),309,Rajasthan - Sadulshahar
11,None of the Above,None of the Above,1641,Rajasthan - Sadulshahar
12,RAJ KUMAR GAUR,Independent,44998,Rajasthan - Ganganagar
13,ASHOK CHANDAK,Indian National Congress,35818,Rajasthan - Ganganagar
14,VINITA AHUJA,Bharatiya Janata Party,29686,Rajasthan - Ganganagar
15,JAIDEEP BIHANI,Independent,29206,Rajasthan - Ganganagar
16,PRAHALAD RAI TAK,Bahujan Samaj Party,14834,Rajasthan - Ganganagar
17,KAMINI JINDAL,National Unionist Zamindara Party,4887,Rajasthan - Ganganagar
18,RADHESHYAM GANGANAGAR,Independent,2318,Rajasthan - Ganganagar
19,DHIR SINGH,Independent,994,Rajasthan - Ganganagar
20,NAND KISHORE BIHANI,Independent,981,Rajasthan - Ganganagar
21,KRISHAN KUMAR,Independent,848,Rajasthan - Ganganagar
22,AMIT KARGWAL,Aam Aadmi Party,836,Rajasthan - Ganganagar
23,PREET KALRA,Independent,457,Rajasthan - Ganganagar
24,RAHUL MAHASHAYA,Lok Jan Shakti Party,419,Rajasthan - Ganganagar
25,RAJESH BHART,Independent,387,Rajasthan - Ganganagar
26,AMIT KHARIWAL,Independent,293,Rajasthan - Ganganagar
27,JASWANT SINGH,Maharana Kranti Party,281,Rajasthan - Ganganagar
28,ASHOK KUMAR,Independent,275,Rajasthan - Ganganagar
29,KARISHMA,Dalit Kranti Dal,233,Rajasthan - Ganganagar
30,DAYA RAM,Bharat Lok Sewak Party,219,Rajasthan - Ganganagar
31,SHYAM SUNDER,Independent,177,Rajasthan - Ganganagar
32,JAKIR HUSAIN,Jantawadi Congress Party,174,Rajasthan - Ganganagar
33,MANJEET SINGH,Abhinav Rajasthan Party,162,Rajasthan - Ganganagar
34,None of the Above,None of the Above,1170,Rajasthan - Ganganagar
35,GURMEET SINGH KOONER,Indian National Congress,73896,Rajasthan - Karanpur
36,PRITHIPAL SINGH,Independent,45520,Rajasthan - Karanpur
37,SURENDERPAL SINGH,Bharatiya Janata Party,44099,Rajasthan - Karanpur
38,MAHENDER KUMAR RASSEWAT,Independent,15782,Rajasthan - Karanpur
39,RANJEET,Bahujan Samaj Party,1474,Rajasthan - Karanpur
40,MAMTA,Independent,1370,Rajasthan - Karanpur
41,SUKHRAM,Independent,1260,Rajasthan - Karanpur
42,HARIRAM RAMGARIA,Independent,1233,Rajasthan - Karanpur
43,PRAHLAD RAI,Aam Aadmi Party,900,Rajasthan - Karanpur
44,TITAR SINGH,Independent,653,Rajasthan - Karanpur
45,SHIV LAL,Independent,523,Rajasthan - Karanpur
46,JAIPARKASH,Independent,487,Rajasthan - Karanpur
47,PRITHVI RAJ,Independent,422,Rajasthan - Karanpur
48,CHUKI DEVI,Independent,298,Rajasthan - Karanpur
49,RAISAHAB,Republican Party of India (A),249,Rajasthan - Karanpur
50,SUNIL KUMAR MEGHWAL,Bharatiya Republican Paksha,131,Rajasthan - Karanpur
51,None of the Above,None of the Above,1300,Rajasthan - Karanpur
52,RAMPRATAP KASNIYAN,Bharatiya Janata Party,69032,Rajasthan - Suratgarh
53,HANUMAN MEEL,Indian National Congress,58797,Rajasthan - Suratgarh
54,DUNGAR RAM GEDAR,Bahujan Samaj Party,55543,Rajasthan - Suratgarh
55,OM RAJPUROHIT,Independent,1346,Rajasthan - Suratgarh
56,SHRAWAN RAM,Independent,822,Rajasthan - Suratgarh
57,SATYA PAL MEGHWAL,Independent,779,Rajasthan - Suratgarh
58,SATYA PRAKASH,Aam Aadmi Party,747,Rajasthan - Suratgarh
59,NAND KISHOR,All India Hindustan Congress Party,697,Rajasthan - Suratgarh
60,KRISHAN KUMAR,Bharatiya Yuva Shakti,544,Rajasthan - Suratgarh
61,MAHAVIR PRASAD PAREEK URF TIWARI,Independent,289,Rajasthan - Suratgarh
62,PITAMBER DUTT SHARMA,Independent,277,Rajasthan - Suratgarh
63,GOPIRAM,Maharana Kranti Party,233,Rajasthan - Suratgarh
64,PAWAN KUMAR MISHAR (P K MISHAR),Independent,192,Rajasthan - Suratgarh
65,BHAWANI SHANKAR,Independent,171,Rajasthan - Suratgarh
66,DHARAM PAL,Independent,137,Rajasthan - Suratgarh
67,None of the Above,None of the Above,1591,Rajasthan - Suratgarh
68,BALVEER SINGH LUTHRA,Bharatiya Janata Party,76935,Rajasthan - Raisingh Nagar
69,SHYOPAT RAM,Communist Party of India  (Marxist),43264,Rajasthan - Raisingh Nagar
70,SOHAN LAL NAYAK,Independent,38234,Rajasthan - Raisingh Nagar
71,SONA DEVI,Indian National Congress,31294,Rajasthan - Raisingh Nagar
72,SUCHCHA SINGH,Aam Aadmi Party,3541,Rajasthan - Raisingh Nagar
73,KUMBHARAM,Bahujan Samaj Party,1357,Rajasthan - Raisingh Nagar
74,YODESH RAJ BOKOLIYA,Independent,1302,Rajasthan - Raisingh Nagar
75,HARJI RAM,Independent,1058,Rajasthan - Raisingh Nagar
76,RAJESH KUMAR SIKARWAL,National Unionist Zamindara Party,1036,Rajasthan - Raisingh Nagar
77,RAJPAL LOTIA,Bharatiya Rashtravadi Samanta Party,752,Rajasthan - Raisingh Nagar
78,SONA SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),562,Rajasthan - Raisingh Nagar
79,MAHAVIR PRASAD,Independent,448,Rajasthan - Raisingh Nagar
80,DURGARAM,Independent,359,Rajasthan - Raisingh Nagar
81,KRISHAN LAL,Independent,313,Rajasthan - Raisingh Nagar
82,RAJESH KUMAR,Maharana Kranti Party,295,Rajasthan - Raisingh Nagar
83,None of the Above,None of the Above,1842,Rajasthan - Raisingh Nagar
84,SANTOSH,Bharatiya Janata Party,79383,Rajasthan - Anupgarh    
85,KULDEEP INDORA,Indian National Congress,58259,Rajasthan - Anupgarh    
86,SHIMLA DEVI NAYAK,Independent,21666,Rajasthan - Anupgarh    
87,PAWAN KUMAR DUGGAL,Communist Party of India  (Marxist),17688,Rajasthan - Anupgarh    
88,SHANKAR LAL,Bahujan Samaj Party,1522,Rajasthan - Anupgarh    
89,JAGDISH,Aam Aadmi Party,1070,Rajasthan - Anupgarh    
90,BANWARI,Maharana Kranti Party,726,Rajasthan - Anupgarh    
91,None of the Above,None of the Above,3009,Rajasthan - Anupgarh    
92,GURDEEP SINGH,Bharatiya Janata Party,99064,Rajasthan - Sangaria
93,SHABNAM GODARA,Indian National Congress,92526,Rajasthan - Sangaria
94,BALVIR SINGH,Bahujan Samaj Party,2863,Rajasthan - Sangaria
95,RUPENDRA SINGH,Independent,2063,Rajasthan - Sangaria
96,ANIL KUMAR,Aam Aadmi Party,995,Rajasthan - Sangaria
97,VEDPRAKASH,Independent,392,Rajasthan - Sangaria
98,BALJINDER SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),364,Rajasthan - Sangaria
99,RADHE SHYAM,Independent,304,Rajasthan - Sangaria
100,RAJENDER KUMAR,Dalit Kranti Dal,188,Rajasthan - Sangaria
101,None of the Above,None of the Above,1891,Rajasthan - Sangaria
102,VINOD KUMAR,Indian National Congress,111207,Rajasthan - Hanumangarh
103,RAMPRATAP,Bharatiya Janata Party,95685,Rajasthan - Hanumangarh
104,RAGHUVER SINGH,Communist Party of India  (Marxist),4347,Rajasthan - Hanumangarh
105,JETHA RAM,Bahujan Samaj Party,2529,Rajasthan - Hanumangarh
106,RAMKUMAR,Communist Party of India,1708,Rajasthan - Hanumangarh
107,SURENDRAPAL,Aam Aadmi Party,1421,Rajasthan - Hanumangarh
108,KULDEEP SINGH,Bahujan Mukti Party,962,Rajasthan - Hanumangarh
109,VINOD KUMAR,Independent,806,Rajasthan - Hanumangarh
110,VINOD KUMAR,Independent,736,Rajasthan - Hanumangarh
111,RAMPRATAP,Independent,698,Rajasthan - Hanumangarh
112,VINOD KUMAR,Rashtriya Loktantrik Party,515,Rajasthan - Hanumangarh
113,CHIRANJI LAL,Independent,473,Rajasthan - Hanumangarh
114,VINOD KUMAR MEGHWAL,Bharatiya Republican Paksha,322,Rajasthan - Hanumangarh
115,SALMA BANO,Dalit Kranti Dal,195,Rajasthan - Hanumangarh
116,None of the Above,None of the Above,2215,Rajasthan - Hanumangarh
117,DHARMENDRA KUMAR,Bharatiya Janata Party,106414,Rajasthan - Pilibanga 
118,VINOD KUMAR,Indian National Congress,106136,Rajasthan - Pilibanga 
119,SUSHIL KUMAR,Bahujan Samaj Party,3523,Rajasthan - Pilibanga 
120,MANI RAM,Communist Party of India  (Marxist),2659,Rajasthan - Pilibanga 
121,SUBHASH CHANDRA,Independent,1801,Rajasthan - Pilibanga 
122,NEHA MEGHWAL,Rashtriya Loktantrik Party,1635,Rajasthan - Pilibanga 
123,ROOPRAM,Independent,768,Rajasthan - Pilibanga 
124,PEERA RAM,Aam Aadmi Party,454,Rajasthan - Pilibanga 
125,JASVINDER SINGH,Bahujan Mukti Party,386,Rajasthan - Pilibanga 
126,None of the Above,None of the Above,2441,Rajasthan - Pilibanga 
127,AMIT CHACHAN,Indian National Congress,93851,Rajasthan - Nohar
128,ABHISHEK MATORIA,Bharatiya Janata Party,80124,Rajasthan - Nohar
129,RAM KISHAN BHAKAR,Independent,13312,Rajasthan - Nohar
130,MANGEJ CHOUDHARY,Communist Party of India  (Marxist),9870,Rajasthan - Nohar
131,RADHESYAM MEGWAL,Bahujan Samaj Party,2065,Rajasthan - Nohar
132,RAM SWAROOP,Independent,1240,Rajasthan - Nohar
133,JASWANT SIHAG,Bharat Vahini Party,607,Rajasthan - Nohar
134,OM PRAKASH SANGWAL,Independent,458,Rajasthan - Nohar
135,MUKESH SANSI,Dalit Kranti Dal,227,Rajasthan - Nohar
136,None of the Above,None of the Above,2065,Rajasthan - Nohar
137,BALWAN POONIA,Communist Party of India  (Marxist),82204,Rajasthan - Bhadra
138,SANJEEV KUMAR,Bharatiya Janata Party,59051,Rajasthan - Bhadra
139,DR. SURESH CHOUDHARI,Indian National Congress,37574,Rajasthan - Bhadra
140,ROOP NATH,Bahujan Samaj Party,15581,Rajasthan - Bhadra
141,PREM SINGH POONIA,Independent,1465,Rajasthan - Bhadra
142,PRATAP SINGH,Independent,1162,Rajasthan - Bhadra
143,RAMSWAROOP,Independent,711,Rajasthan - Bhadra
144,VISHVAJEET SINGH,Independent,624,Rajasthan - Bhadra
145,RAJESH KUMAR,Independent,524,Rajasthan - Bhadra
146,BHAGIRATH,Independent,348,Rajasthan - Bhadra
147,MANOJ KUMAR,Independent,297,Rajasthan - Bhadra
148,BALWAN SINGH,Independent,295,Rajasthan - Bhadra
149,None of the Above,None of the Above,2300,Rajasthan - Bhadra
150,GOVIND RAM,Indian National Congress,82994,Rajasthan - Khajuwala 
151,DR. VISHWANATH,Bharatiya Janata Party,51905,Rajasthan - Khajuwala 
152,MITHU SINGH,Rashtriya Loktantrik Party,9779,Rajasthan - Khajuwala 
153,GORDHAN RAM,Bahujan Samaj Party,1945,Rajasthan - Khajuwala 
154,LALIT MOHAN,Independent,1639,Rajasthan - Khajuwala 
155,TARACHAND,Independent,1206,Rajasthan - Khajuwala 
156,MANGILAL,Bharat Vahini Party,1158,Rajasthan - Khajuwala 
157,SATYANARAYAN,Aam Aadmi Party,679,Rajasthan - Khajuwala 
158,None of the Above,None of the Above,2130,Rajasthan - Khajuwala 
159,BULAKI DAS KALLA,Indian National Congress,75128,Rajasthan - Bikaner West
160,GOPAL KRISHN,Bharatiya Janata Party,68938,Rajasthan - Bikaner West
161,GOPAL GAHLOT,Independent,6563,Rajasthan - Bikaner West
162,NARAYAN HARI,Bahujan Samaj Party,1462,Rajasthan - Bikaner West
163,NARAYAN,Independent,1007,Rajasthan - Bikaner West
164,SHABNAM BANO,Independent,900,Rajasthan - Bikaner West
165,CHETAN PRAKASH PANIA,Abhinav Rajasthan Party,884,Rajasthan - Bikaner West
166,SURENDRA SINGH,Independent,389,Rajasthan - Bikaner West
167,PUKHRAJ,Shiv Sena,306,Rajasthan - Bikaner West
168,SHIV SHANKAR OJHA,Anarakshit Samaj Party,216,Rajasthan - Bikaner West
169,RITESH KUMAR,Aam Aadmi Party,205,Rajasthan - Bikaner West
170,HAJI MO.,Dalit Kranti Dal,116,Rajasthan - Bikaner West
171,None of the Above,None of the Above,1780,Rajasthan - Bikaner West
172,SIDDHI KUMARI,Bharatiya Janata Party,73174,Rajasthan - Bikaner East
173,KANHAIYA LAL JHANWAR,Indian National Congress,66113,Rajasthan - Bikaner East
174,GOPAL GAHLOT,Independent,4969,Rajasthan - Bikaner East
175,RAPHIK SHAH,Bahujan Samaj Party,1617,Rajasthan - Bikaner East
176,YUDHISTHAR SINGH BHATI,Independent,1266,Rajasthan - Bikaner East
177,ANKUR SHUKLA,Abhinav Rajasthan Party,1122,Rajasthan - Bikaner East
178,MANJU LATA GAHLOT,Independent,855,Rajasthan - Bikaner East
179,YAKUB ALI,Independent,534,Rajasthan - Bikaner East
180,MOOLCHAND NAYAK,Ambedkarite Party of India,385,Rajasthan - Bikaner East
181,ADARSH SHARMA,Independent,321,Rajasthan - Bikaner East
182,RAJKUMAR KALOD,Independent,300,Rajasthan - Bikaner East
183,ADVOCATE HANUMAN SINGH,Aam Aadmi Party,300,Rajasthan - Bikaner East
184,ARIF HUSSAIN,Independent,293,Rajasthan - Bikaner East
185,PRIYANKA,Independent,280,Rajasthan - Bikaner East
186,VIVEK MACHRA,Rashtriya Loktantrik Party,273,Rajasthan - Bikaner East
187,PHOOSA RAM BHADOO,Independent,156,Rajasthan - Bikaner East
188,PRADEEP SHARMA,Independent,153,Rajasthan - Bikaner East
189,RAJENDRA KUMAR PUROHIT,Independent,107,Rajasthan - Bikaner East
190,HARISINGH RASISAR,Shiv Sena,106,Rajasthan - Bikaner East
191,MADHU BALA,Dalit Kranti Dal,95,Rajasthan - Bikaner East
192,SAWROOPCHAND GAHLOT,Independent,52,Rajasthan - Bikaner East
193,HAJI MOHAMMAD,Independent,36,Rajasthan - Bikaner East
194,None of the Above,None of the Above,895,Rajasthan - Bikaner East
195,BHANWAR SINGH BHATI,Indian National Congress,89505,Rajasthan - Kolayat
196,POONAM KANWAR BHATI,Bharatiya Janata Party,78489,Rajasthan - Kolayat
197,DR. SURESH KUMAR BISHNOI,Rashtriya Loktantrik Party,2915,Rajasthan - Kolayat
198,HANUTARAM MEGHWAL,Independent,1977,Rajasthan - Kolayat
199,RUGHANATH RAM,Bahujan Samaj Party,1350,Rajasthan - Kolayat
200,BHARTA RAM,Independent,361,Rajasthan - Kolayat
201,OM PRAKASH BISHNOI,Naya Bharat Party,223,Rajasthan - Kolayat
202,BHANWAR SINGH S/O SADUL SINGH,Independent,174,Rajasthan - Kolayat
203,BHANWAR SINGH S/O NARAYAN SINGH,Independent,174,Rajasthan - Kolayat
204,PUNAM CHAND,Aam Aadmi Party,168,Rajasthan - Kolayat
205,LIKHAMARAM,Bahujan Mukti Party,148,Rajasthan - Kolayat
206,ARJUN SINGH,Independent,145,Rajasthan - Kolayat
207,NARSINGH,Dalit Kranti Dal,92,Rajasthan - Kolayat
208,None of the Above,None of the Above,3332,Rajasthan - Kolayat
209,SUMIT GODARA,Bharatiya Janata Party,72822,Rajasthan - Lunkaransar
210,VIRENDRA BENIWAL,Indian National Congress,61969,Rajasthan - Lunkaransar
211,PRABHUDAYAL,Independent,23892,Rajasthan - Lunkaransar
212,PAWAN KUMAR OJHA,Bahujan Samaj Party,2720,Rajasthan - Lunkaransar
213,LALCHAND BHADU,Communist Party of India  (Marxist),2600,Rajasthan - Lunkaransar
214,VIJAYPAL BENIWAL,Rashtriya Loktantrik Party,2321,Rajasthan - Lunkaransar
215,GHANSHYAM MEGHWAL,Dalit Kranti Dal,1403,Rajasthan - Lunkaransar
216,BINDU PANWAR,Independent,1028,Rajasthan - Lunkaransar
217,BHARATARAM,Independent,824,Rajasthan - Lunkaransar
218,HARBAKSH KOUR,National Unionist Zamindara Party,815,Rajasthan - Lunkaransar
219,BHANWAR LAL,Aam Aadmi Party,426,Rajasthan - Lunkaransar
220,None of the Above,None of the Above,2075,Rajasthan - Lunkaransar
221,GIRDHARILAL,Communist Party of India  (Marxist),72376,Rajasthan - SHREE DUNGARGARH
222,MANGALARAM,Indian National Congress,48480,Rajasthan - SHREE DUNGARGARH
223,TARACHAND,Bharatiya Janata Party,42973,Rajasthan - SHREE DUNGARGARH
224,KISHANARAM NAI,Bharat Vahini Party,4101,Rajasthan - SHREE DUNGARGARH
225,BHERA RAM,Bahujan Samaj Party,2120,Rajasthan - SHREE DUNGARGARH
226,KALUDAS,Dalit Kranti Dal,1182,Rajasthan - SHREE DUNGARGARH
227,DANARAM,Rashtriya Loktantrik Party,1033,Rajasthan - SHREE DUNGARGARH
228,SHARWANRAM,Aam Aadmi Party,1017,Rajasthan - SHREE DUNGARGARH
229,DHANNARAM,Asankhya Samaj Party,850,Rajasthan - SHREE DUNGARGARH
230,BALWANT,Abhinav Rajasthan Party,699,Rajasthan - SHREE DUNGARGARH
231,None of the Above,None of the Above,3894,Rajasthan - SHREE DUNGARGARH
232,BIHARILAL,Bharatiya Janata Party,86917,Rajasthan - Nokha
233,RAMESHWAR DUDI,Indian National Congress,78254,Rajasthan - Nokha
234,MANGANARAM,Independent,8305,Rajasthan - Nokha
235,MEGHSINGH,Independent,5969,Rajasthan - Nokha
236,INDU DEVI,Rashtriya Loktantrik Party,4546,Rajasthan - Nokha
237,VASUDEV,Independent,1705,Rajasthan - Nokha
238,NARAYAN,Independent,865,Rajasthan - Nokha
239,RAMESHWAR,Independent,641,Rajasthan - Nokha
240,KISHORE SINGH,Abhinav Rajasthan Party,476,Rajasthan - Nokha
241,JAGDISH,Bhartiya Panchyat Party,429,Rajasthan - Nokha
242,BHANWAR LAL MEGHWAL,Bahujan Mukti Party,298,Rajasthan - Nokha
243,BAHNWAR LAL,Aam Aadmi Party,275,Rajasthan - Nokha
244,None of the Above,None of the Above,3188,Rajasthan - Nokha
245,KRISHNA POONIA,Indian National Congress,70020,Rajasthan - Sadulpur
246,MANOJ NYANGALI,Bahujan Samaj Party,51936,Rajasthan - Sadulpur
247,RAM SINGH KASWAN,Bharatiya Janata Party,50492,Rajasthan - Sadulpur
248,BHAGAT SINGH,Communist Party of India  (Marxist),1095,Rajasthan - Sadulpur
249,RAJPAL,Aam Aadmi Party,588,Rajasthan - Sadulpur
250,NARENDRA SINGH TANWAR,Independent,561,Rajasthan - Sadulpur
251,KRISHANA,Independent,504,Rajasthan - Sadulpur
252,MANOJ KUMAR S/O KESHAR DEV,Independent,482,Rajasthan - Sadulpur
253,VIMAL,Abhinav Rajasthan Party,267,Rajasthan - Sadulpur
254,MANOJ KUMAR S/O SHER SINGH,Independent,217,Rajasthan - Sadulpur
255,RAJENDRA SINGH,Bharat Vahini Party,129,Rajasthan - Sadulpur
256,AJEET SINGH,Independent,96,Rajasthan - Sadulpur
257,None of the Above,None of the Above,1111,Rajasthan - Sadulpur
258,NARENDRA BUDANIYA,Indian National Congress,56968,Rajasthan - Taranagar
259,RAKESH JANGIR,Bharatiya Janata Party,44413,Rajasthan - Taranagar
260,DR. CHANDRASHEKHAR BAID,Independent,41296,Rajasthan - Taranagar
261,COMRADE NIRMAL KUMAR,Communist Party of India  (Marxist),13416,Rajasthan - Taranagar
262,TILOKA RAM KASWAN,Independent,12570,Rajasthan - Taranagar
263,ANUPAL SINGH,Kranti Janshakti Party,1625,Rajasthan - Taranagar
264,ALISHER KHAN,Bahujan Samaj Party,1333,Rajasthan - Taranagar
265,RAMESH KUMAR,Independent,1251,Rajasthan - Taranagar
266,VIRENDRA SINGH,Independent,1179,Rajasthan - Taranagar
267,NATTHU SINGH,Independent,911,Rajasthan - Taranagar
268,DR. RAHUL KASWAN,Independent,769,Rajasthan - Taranagar
269,AMARJEET,Independent,600,Rajasthan - Taranagar
270,BISHANARAM,Bahujan Sangharshh Dal,420,Rajasthan - Taranagar
271,BHOJRAJ,Aam Aadmi Party,384,Rajasthan - Taranagar
272,BUDDHRAM,Bahujan Mukti Party,266,Rajasthan - Taranagar
273,HOSHIYAR SINGH,Dalit Kranti Dal,240,Rajasthan - Taranagar
274,None of the Above,None of the Above,663,Rajasthan - Taranagar
275,BHANWARLAL SHARMA,Indian National Congress,95282,Rajasthan - Sardarshahar
276,ASHOK KUMAR,Bharatiya Janata Party,78466,Rajasthan - Sardarshahar
277,BALDEV,Rashtriya Loktantrik Party,10273,Rajasthan - Sardarshahar
278,OMAKAR,Bahujan Samaj Party,6762,Rajasthan - Sardarshahar
279,COMRADE CHHAGAN LAL CHOUDHARY,Communist Party of India  (Marxist),3516,Rajasthan - Sardarshahar
280,HIRA LAL,Communist Party of India,3327,Rajasthan - Sardarshahar
281,BHUPENDRA SINGH,Independent,1865,Rajasthan - Sardarshahar
282,HARISH KUMAR JANGIR,Independent,971,Rajasthan - Sardarshahar
283,SANWARMAL,Independent,650,Rajasthan - Sardarshahar
284,IMRAN KHAN,Independent,524,Rajasthan - Sardarshahar
285,KARANI SINGH,Independent,462,Rajasthan - Sardarshahar
286,RAJENDRA PRASAD,Nationalist People's Front,360,Rajasthan - Sardarshahar
287,VINOD,Abhinav Rajasthan Party,346,Rajasthan - Sardarshahar
288,None of the Above,None of the Above,2943,Rajasthan - Sardarshahar
289,RAJENDRA RATHORE,Bharatiya Janata Party,87233,Rajasthan - Churu
290,RAFIQUE MANDELIA,Indian National Congress,85383,Rajasthan - Churu
291,SALIM GUJAR,Independent,1347,Rajasthan - Churu
292,YUNAS KHAN,Independent,1209,Rajasthan - Churu
293,USHA RATHORE,Bharat Vahini Party,1078,Rajasthan - Churu
294,ASGAR KHAN,Bahujan Samaj Party,1053,Rajasthan - Churu
295,DEVENDRA JOSHI,Abhinav Rajasthan Party,573,Rajasthan - Churu
296,MAHENDRA NARAYAN PANDEY,Independent,371,Rajasthan - Churu
297,RAMCHANDRA RAJOTIA,Aam Aadmi Party,241,Rajasthan - Churu
298,KAMAL KUMAR SONI,Independent,160,Rajasthan - Churu
299,BANWARI LAL,Bahujan Sangharshh Dal,113,Rajasthan - Churu
300,ARVIND,Independent,110,Rajasthan - Churu
301,None of the Above,None of the Above,1816,Rajasthan - Churu
302,ABHINESH MAHARSHI,Bharatiya Janata Party,71201,Rajasthan - Ratangarh
303,POOSARAM GODARA,Independent,59320,Rajasthan - Ratangarh
304,BHANWARLAL PUJARI,Indian National Congress,22791,Rajasthan - Ratangarh
305,RAJ KUMAR RINWA,Independent,18789,Rajasthan - Ratangarh
306,DAULAT RAM PENSIA,Janata Dal  (United),3387,Rajasthan - Ratangarh
307,ROHTASH KUMAR,Independent,2231,Rajasthan - Ratangarh
308,ASHOK SINGH RATHORE (RAVANA RAJPUT),Independent,1375,Rajasthan - Ratangarh
309,HEMANT KUMAR,Bahujan Samaj Party,820,Rajasthan - Ratangarh
310,SANJAY KUMAR,Independent,802,Rajasthan - Ratangarh
311,BANSHILAL,Abhinav Rajasthan Party,714,Rajasthan - Ratangarh
312,AMARCHAND,Aam Aadmi Party,647,Rajasthan - Ratangarh
313,PAVITRA DEVI,Rashtriya Loktantrik Party,556,Rajasthan - Ratangarh
314,OM PRAKASH,Ambedkarite Party of India,392,Rajasthan - Ratangarh
315,ASHOKKUMAR,Independent,350,Rajasthan - Ratangarh
316,SAMSHER SINGH,Bharat Vahini Party,317,Rajasthan - Ratangarh
317,PANKAJ KUMAR,Bahujan Mukti Party,214,Rajasthan - Ratangarh
318,JEETENDRA BHARGAV,Republican Party of India (A),199,Rajasthan - Ratangarh
319,None of the Above,None of the Above,533,Rajasthan - Ratangarh
320,MASTER BHANWARLAL MEGHWAL,Indian National Congress,83632,Rajasthan - Sujangarh 
321,KHEMARAM,Bharatiya Janata Party,44883,Rajasthan - Sujangarh 
322,SANTOSH MEGHWAL,Independent,38603,Rajasthan - Sujangarh 
323,SITARAM,Bahujan Samaj Party,4802,Rajasthan - Sujangarh 
324,RAMESHWARLAL,Independent,4353,Rajasthan - Sujangarh 
325,HEERALAL,Independent,2359,Rajasthan - Sujangarh 
326,DOULATRAM,Abhinav Rajasthan Party,840,Rajasthan - Sujangarh 
327,VINOD KUMAR KHATEEK,Rashtriya Sarvjan Vikas Party,645,Rajasthan - Sujangarh 
328,None of the Above,None of the Above,3201,Rajasthan - Sujangarh 
329,J.P. CHANDELIA,Indian National Congress,84715,Rajasthan - Pilani 
330,KAILASH CHAND,Bharatiya Janata Party,71176,Rajasthan - Pilani 
331,JAYA KUMARI,Bahujan Samaj Party,1049,Rajasthan - Pilani 
332,SUMER SINGH,Ambedkarite Party of India,566,Rajasthan - Pilani 
333,SATYANARAYAN,Independent,535,Rajasthan - Pilani 
334,GOVINDRAM,Independent,530,Rajasthan - Pilani 
335,RAJENDRA MAVAR,Aam Aadmi Party,303,Rajasthan - Pilani 
336,SHISH RAM,Communist Party of India  (Marxist-Leninist)  (Liberation),284,Rajasthan - Pilani 
337,KAVINDRA,Abhinav Rajasthan Party,248,Rajasthan - Pilani 
338,AJAYPAL,Bahujan Mukti Party,179,Rajasthan - Pilani 
339,ATMARAM BADETIA,Independent,165,Rajasthan - Pilani 
340,RANVEER SINGH,Bharatiya Bahujan Party,115,Rajasthan - Pilani 
341,None of the Above,None of the Above,1704,Rajasthan - Pilani 
342,SUBHASH POONIA S/O LOKRAM POONIA,Bharatiya Janata Party,79913,Rajasthan - Surajgarh
343,SHARWAN KUMAR S/O GOKAL RAM,Indian National Congress,76488,Rajasthan - Surajgarh
344,KARMVEER YADAV,Bahujan Samaj Party,30948,Rajasthan - Surajgarh
345,SHRAWAN KUMAR S/O RAMJILAL,Independent,722,Rajasthan - Surajgarh
346,SHRAVAN KUMAR S/O MADU RAM,Independent,609,Rajasthan - Surajgarh
347,SUBHASH PUNIA S/O BHURARAM,Independent,559,Rajasthan - Surajgarh
348,SANDEEP KUMAR DADHICH,Independent,552,Rajasthan - Surajgarh
349,OMPRAKASH,Communist Party of India  (Marxist-Leninist)  (Liberation),533,Rajasthan - Surajgarh
350,RAJVEER,Independent,520,Rajasthan - Surajgarh
351,ANOOP YADAV,Rashtriya Atulya Yuva Party,509,Rajasthan - Surajgarh
352,SURENDER KUMAR,Independent,420,Rajasthan - Surajgarh
353,SATYVEER SINGH DHANKAR,Republican Party of India (A),296,Rajasthan - Surajgarh
354,BANESHWARI ARYA,Independent,292,Rajasthan - Surajgarh
355,MANRUP SINGH,Independent,246,Rajasthan - Surajgarh
356,PRAMOD KUMAR,Abhinav Rajasthan Party,188,Rajasthan - Surajgarh
357,DURGAPRASAD YADAV,Aam Aadmi Party,169,Rajasthan - Surajgarh
358,DHARAMPAL SINGH,Bharat Vahini Party,112,Rajasthan - Surajgarh
359,JALDEEP KUMAR,Bhartiya Panchyat Party,107,Rajasthan - Surajgarh
360,JASRAM,Dalit Soshit Pichhara Varg  Adhikar Dal,106,Rajasthan - Surajgarh
361,None of the Above,None of the Above,392,Rajasthan - Surajgarh
